document_id,clean_text,sentiment
1,"Denis Villeneuve has accomplished what was considered impossible for decades, to write and direct a faithful adaptation to the fantastic 1965 sci-fi novel by Frank Herbert. And I'm here to tell you, he has done it, he has actually done it.I was introduced to the world of dune in 1992 by playing the video game DUNE released that year. The story completely captivated me, so i decided to read the book. And to this day, it's one of the best stories I've ever read. A tale absolutely grand in scale, and filled with details, making it really hard to adapt for the big screen, even today with all the technology we have at our disposal.I saw the film made by David Lynch, a few years after i read the book, and about 10 years after it was released, and i didn't enjoy it much. The 1984 film completely fails at capturing the very essence of the novel, and feels shallow and unfocused.One of the main differences with this movie and the 1984 movie, is that Villeneuve has only centered on the first half of the first novel. And with over two and a half hours runtime, he is able to concentrate more on the small details, than Lynch ever could. But on the flip side, this also means that this movie has no conclusion.From reading the book, i know what comes next, i know how this story ends. But a lot of people watching this movie, especially those who haven't read the book, can obviously feel like they were watching a prologue to something great, that never happens. This is a very risky move by both Villeneuve and the production companies, because this can only work if part 2 is released to conclude the story. It's kind of how they did it with ""the lord of the rings"" trilogy.But, still, without a conclusion, what a massive blast of a movie this is. I've seen it in IMAX twice already, and the grand scale of everything, the sandworms, the space ships, the ornithopters, the buildings, the sound effects, the soundtrack, the locations. It's epic in every meaning of the word. And all of this without losing track of the deep relationships between the characters. This is a movie that manages to perfectly blend massive awesomeness with true heartfelt emotions.The actors are near perfectly cast, all carrying their roles really well, although i felt some of them didn't get enough screen time.This movie does follow the book quite closely, but some things has been changed and/or left out to fit in a movie format, i must admit that during my second IMAX viewing, i felt that Villeneuve maybe should have adapted this as a mini series instead. But that would have dramatically changed the grand scale of everything, but on the other hand, he could've dived deeper into the lore. Two and a half hours to adapt half of the first novel, is cutting it real tight. And with all the stuff you are constantly being fed throughout this movie, it can become somewhat difficult to follow and understand it all.But that being said, I had really high hopes for this film, i was one of those people hyped beyond belief. I've been waiting for this movie for about 30 years. And still, most of this movie is either as i imagined it myself, or better.What Denis Villeneuve has accomplished here, is actually quite astonishing, he has actually made DUNE. It's finally here, it's gigantic, and close to everything i asked for.The only big drawback, is as i mentioned, that this movie has no conclusion, it's two and a half hours of build-up to something great, that never happens, but it's still a huge epic packed with an awesome soundtrack, solid acting, fantastic CGI and sound effects and jaw dropping locations captured with brilliant cinematography. It's most definitively made for the big screen, absolutely no doubt about that.Denis Villeneuve has once again shown us he's a force to be reckoned with, a brilliant filmmaker, and one of the best of his generation, even one of the best of all time.I give this movie a 9 out of 10. We need part 2, we need it badly. This story deserves to be concluded. But if it never comes, i will just imagine the last half of the first novel with this movie as the template.",positive
2,"It's been amazing being back in cinemas after last year, I have seen some good films, and some shockers, this though, is the first great film of the year for me.The story is somehow easier to follow than in the last adaptation, motives and actions are easier to see and follow. I felt as though the book had come to life here, even if there are a couple of changes.The acting is impressive, as is the music, the visuals however are the most incredible thing about this film, it looks awe inspiring. The battles are epic, the staging is impressive, you almost feel close to the action, I cannot praise that element highly enough.When I saw Part one, I was a little surprised, I was a little more surprised by the ending, I only hope the wait isn't too long.Pacing, considering where the film ends, it never felt slow or drawn out, I was captivated from start to finish.Truly, I was blown away, 10/10.",positive
3,"It's been some time since I've read the Frank Herbert novel, and I had already forgotten much of the story. However it wasn't a problem picking things up as characters and situations presented themselves in this film, so I'd have to say that was a plus for this viewer. The scope of this picture is quite outstanding, spanning as it does a complex and fragmented universe of worlds and kingdoms. Central to the story is the valued importance placed on a spice that's a preferred hallucinogenic for some, and for the elite, an important component required for interstellar travel. In the novel I believe it was something as common as cinnamon, but on the planet Arrakis, required an intensive mining operation to reclaim it from the barren desert soil in which it's found.The entire story is veiled with a mystical sort of ambiance in which the protagonist, Paul Atreides (Timothée Chalamet), learns of his destiny while obliquely being referred to as 'The One' of legend, a person who will come into great power. Quite honestly, the setting, costuming, characterizations and palace intrigue is all quite reminiscent of 'Star Wars', even if the original novel was written over a decade before George Lucas arrived on the scene. Even the hostile environment of Arrakis has the feel of Tatooine, with the appearance of the Shai-Hulud recalling the Sarlacc, one of Jabba the Hutt's favorite pets.What surprised me with this first installment of the Dune saga was how well director Denis Villeneuve managed to condense the epic scope of a massive novel onto film, even if half of the story is yet to be told. The movie incorporates the most critical elements of the novel into a narrative that works really well. Even though I actually did enjoy the 1984 version directed by David Lynch, this one proves to be more inclusive of events in the novel, and I look forward to a successful conclusion to the saga in due time.",positive
4,"Greetings from Lithuania.""Dune. Part I"" (2021) was amazing cinematic experience. This is a movie that demands to be seen on a big screen, no less. I haven't read a book nor seen previous version of it, therefore all things that i saw story wise were fresh for me. And i won't lie i did felt to be lost here and there, but at the end of the day the storyline was clear.The visual side of this movie was staggering. This is a 100% movie going experience. Special effects looked as real as it gets - if you enjoyed visual side of ""Blade Runner 2049"" you will get same here - grandiose sets, design, sound and all technical stuff - this movie at every scene looked breathtaking. Yet i wished cinematography was done by Roger Deakins, but still it was solid (but could been even better). Acting was very good by all involved - you can't ask for more from such a cast.Overall, few reasons why i did not gave it 10/10 is because it did felt like a set up of a story more then once - way more then once. Also there are some pacing issues here and there. And finally, this movie will loose ~80% of its visual side when watched at home in my opinion, this is a real movie going experience. But at the end i liked it very much and would like to see Part II - fingers crossed!",positive
5,"Having read the book a hundred years ago, it took some time to begin to understand what was going on. If there is a criticism that many share, it is the pacing of the first part of the film. It needed something to set the scene for us, to show us who the strong and the weak were. I'm not much for narration (show me, don't tell me), but it may not have been a bad idea. The scenes are magnificent with special effects off the chart. Many desert travel scenes are quite endless. How do you spruce up a desert. I thought the sand worms were a little one dimensional. I know there is another film down the road.",positive
6,"Denis Villeneuve directs this remake of the Frank Herbert classic sci-fi. It's the first part of two movies. Timothée Chalamet is the lead as Paul Atreides. The emperor has given his family the desert planet Arrakis where the most important spice is mined. It's a trap and everyone knows it.I've never read the book. I have seen the David Lynch version and the Sci Fi movies. I do miss some of the Lynchian weirdness. This version feels more Earth-bound without the weirdness. Arrakis has a lot more middle eastern influences. House Atreides is more Scottish. I do wish that they get rid of the damn bagpipes. One hopes that they would get rid of that noise in a few thousand years. As for Chalamet, he is the perfect prettiness for the role. He looks too pretty to be believed as a fighter which is exactly what every other character comments on about him. He has the ethereal look of an angelic hero in an ancient classical Greek story. I'm not sure if newbies could get lost in this labyrinthian world. It's not really that complicated. I think Villeneuve has made the right movie. He puts his skills into the epic feel of this franchise. It feels right... coming from a non-book-reader.",positive
7,"When David Lynch unleashed his interpretation of Frank Herberts largely unfilmable political science fiction opus, many critics panned it as too condensed and disjointed.Fast forward to 2021 and another filmmaker takes a stab at Dune. There are many things Denis Villeneuve does well here, but again missing much of Herberts tone. In the end I feel Mr. Lynch had a better idea of what to cut out and what to leave in than Villeneuve did.You cannot have a adaptation of Dune without the politics, without the religion, without the internal monologues...even the crappy Syfy channel miniseries got that right.Now where this film does shine is in the visuals and costumes.departments as well as art direction. There is plenty to see and gawk over here.The casting is good. Timothy Chalamet is probably closer to the novel's description of Paul Atreides although Kyle MacLachlan captured the characters spirit and demeanor better. I'm a fan of Josh Brolin but I feel he is miscast here as Gurney. Patrick Stewart nailed it. The rest are good.I'm not too happy with the Baron's diminished role. And also the pronunciations of house names and titles are more like SyFy channel and less like Lynch. I prefer Lynch.It is definitely worth a watch or two. I look forward to seeing how it will be wrapped up in part two. But David Lynch's Dune will never be equaled, unless someday Jodorowsky gets to make his.",positive
8,"Although the film is called 'Dune', the opening title refers to it as 'Dune Part One'. I knew, when I saw this, it probably should have been better to wait for Part Two before watching it. As a result some characters felt underdeveloped, and some simply vanished halfway through the movie. They also kept talking about Paul Atreides (Timothee Chalamet) being 'The One', but the one for what? This somehow reminded me of Neo from 'The Matrix', also being 'The One'.Regardless, 'Dune' is a spectacle of note. From the stunning visuals, state of the art CGI, production design, and cinematography, to good performances from a stellar cast and a great score, this is one amazing movie. Sure, the film won't satisfy everyone's palate, and if you're not a sci-fi/fantasy fan, 'Dune' will not appeal to you. However, one can't help but be impressed by what they've accomplished.Ok, now, you can crucify me if you want, but for me there were some issues with the film. With the movie being so long, I later found myself thinking there's a hell of a lot going on, with very little happening. Maybe this is because this is not a completed movie (being Part One), but I didn't always understand the character motives, and I still don't really understand what Paul's real mission is. Spice is the most valuable substance in the universe, and I understand Paul follows in his Father's footsteps to preserve the spice production, but he is always on the move and I don't follow whereto. It sometimes also felt like they were holding back on the action sequences. Some of the action scenes ended so abruptly...Also, large parts of the movie reminded me of other films, like 'Tremors', 'The Chronicles of Riddick', and 'Star Wars'. Then a number of credibility issues. The film is set in 10191, but there were medieval elements here as well. Will they still be using scrolls so far into the future to read messages from? Will they still read books? Will they address leaders as ""My Lord""? This, and their costumes, felt very dated.If the film was about 30 minutes shorter, it would have been much better paced, with all the unnecessary scenes on the cutting room floor. It was just too long to keep me entertained for the entire 155 minutes, no matter how astonishing the production values.Ok, now that I've had my rant, 'Dune' is still an incredibly well made film, and worth watching at least once.",positive
9,"I have seen many reviewers write that this movies has no ending. That's true. BUT: The ending Denis chose seems perfect to me. There is no cliffhanger, no big question that I needed immediate answers to. This movie is about house Atreides being betrayed and the path this sets Paul on. This path leads him to his new home: Arrakis.In that sense, this movie had enough of an ending for me to not feel dissatisfied.That said, I will probably go and read the book instead of waiting 3 years (or forever) for the conclusion of this story arc.This is a movie of gigantic scale that feels so familiar, yet so fresh and and unique in it's own way. It's a 2.5 hour, polished piece of art and spectacle.I cannot recommend it more, and if you're hesitant because it's just part 1, don't be.I would give this an easy 9.5/10.",positive
10,"Dune (2021): Not at all as retro as Lynch's Dune, the Flash Gordon/Steampunk aesthetic is replaced by starker yet still ancient looking furnishings and the Spaceships are more modern than mondo. Still though, there's something of the Imperial Stormtroopers about some of the soldiers, even those out of armour tend to look like Star Wars ship crews. But this is a far darker tale than any SW chicanery. We see Paul Atriedes (Timothée Chalamet) visiting his grandfathers grave who died fighting a bull, Galician Bagpipes are played as the Atriedes family walk along the exit ramp of a spaceship. The spaceships are impressive, a submerged troop/suppies rising up like a whale. But these ships are are like grains of sand compared to the vast Starships, ornithopters are extensively used for transport and combat on Arrakis. The betrayal and retaking of Arrakis by the Harkonnens is vividly portrayed in attacks from above, hand to hand fighting bombings. Here Duncan Idaho(Jason Momos) is given more room to develop as a character than in the 1984 film, it's yet to be seen if Josh Brolin's Gurney Halleck will match or outdo hat of Patrick Stewart's portrayal. The true role of the Bene Gesserit and the early appreciation by the Fremen of Paul as a potential Prophet/Savior is more subtly related by Villeneuve. This is just Part One, i eagerly await the second half. Directed/Co-Written by Denis Villeneuve. 9/10.",positive
